Uuid,Void/Retire,Name,display:en,Description,Required,Format,Format description,Validator,Location behavior,Uniqueness behavior
aeccdb8e-0766-4150-98cd-9205bdd575d5,,National ID,National ID,National ID Number,FALSE,^[0-9]{9}([(][0-9]{2}[)])?$,"National ID should be 9 digits. E.g, 923456678. If the ID is renewed, it will have (xx) appended at the end, where xx represent the iteration of card renewed e.g (01) for first renewal, (02) for second renewal, and so on.",,NOT_USED,UNIQUE
399a4943-650f-42f0-8fa5-c2f8c71486a6,,Passport No,Passport No,Passport No,FALSE,,,,NOT_USED,UNIQUE
